Price,Close,High,Low,Open,Volume
Ticker,HBT,HBT,HBT,HBT,HBT
Date,,,,,
2020-06-05,12.241959571838379,12.291927103863653,11.44248461888285,11.65900926731407,63000
2020-06-08,12.241959571838379,12.62504133667555,12.175336725275999,12.62504133667555,57800
2020-06-09,12.216974258422852,12.416842766298055,11.43165696405289,12.191990893490164,26000
2020-06-10,11.72563362121582,12.279436600836766,11.63402739396824,12.150354918304478,19300
2020-06-11,10.959467887878418,11.659008526544177,10.67632041087495,11.35920573606182,41400
2020-06-12,10.967794418334961,11.317564689086034,10.55140131450814,11.317564689086034,36700
2020-06-15,11.32589340209961,11.409171551196204,10.52725089316555,10.568057241817362,21600
2020-06-16,11.409173011779785,11.575730125502206,11.155173711180707,11.542418702757722,23700
2020-06-17,11.001108169555664,11.617369903394335,10.930321295114265,11.617369903394335,15800
2020-06-18,11.076059341430664,11.317567367027113,10.876190794910915,10.876190794910915,16700
2020-06-19,10.93448543548584,11.225960196514068,10.767928315725852,11.076059185833577,89600
2020-06-22,10.85953426361084,11.109370334155741,10.776255308693546,10.80956673181907,29900
2020-06-23,10.826224327087402,11.126027176384504,10.792912899387725,10.959470037886115,39700
2020-06-24,10.584715843200684,10.717961548529537,10.50976493540144,10.717961548529537,25400
2020-06-25,10.742941856384277,10.90117168199845,10.576384772216851,10.576384772216851,38300
2020-06-26,10.293237686157227,10.909500110088823,10.076713866393701,10.626352660159386,159600
2020-06-29,10.59304428100586,10.90950323969739,10.339044149667652,10.40983103245664,43500
2020-06-30,11.101040840148926,11.192647043312126,10.53474592624983,10.53474592624983,45600
2020-07-01,10.468125343322754,11.101043231154119,10.451470027436162,11.101043231154119,20100
2020-07-02,10.418158531188965,10.742944733753848,10.418158531188965,10.651338511477837,12500
2020-07-06,10.65966796875,10.776257577128305,10.305733527157702,10.65966796875,45900
2020-07-07,10.159993171691895,10.742943449848317,10.110026436133683,10.526419605417836,32700
2020-07-08,10.151664733886719,10.859533412589755,10.010091792353025,10.201632261762722,47800
2020-07-09,9.53540325164795,11.009435426453836,9.53540325164795,10.12668157349897,58200
2020-07-10,9.860191345214844,10.74294450613714,9.635338630473662,9.635338630473662,42300
2020-07-13,9.83520793914795,10.110027393359056,9.703627691549691,10.110027393359056,54200
2020-07-14,9.801896095275879,9.944302172640946,9.701961030554976,9.910157626010722,19200
2020-07-15,10.214125633239746,10.326551195308042,9.868519303887767,10.060059797506135,66400
2020-07-16,10.284910202026367,10.31822161927621,9.885172400821409,10.20163126179834,107400
2020-07-17,10.201631546020508,10.326549165635976,10.126680656568485,10.143336762760871,79700
2020-07-20,10.176651000976562,10.25992917239502,10.018421125129459,10.226617744986223,37200
2020-07-21,10.518091201782227,10.518091201782227,10.234943729008224,10.268255149675348,86700
2020-07-22,10.226617813110352,10.60969962796696,10.135011585677692,10.518093400534301,94800
2020-07-23,10.209959983825684,10.367356698764233,10.159992457572617,10.276582822691847,35500
2020-07-24,10.184975624084473,10.401500243261495,10.13500889301708,10.30156598691984,31600
2020-07-27,10.27658462524414,10.49310928664187,10.126682814398476,10.318224105390938,38500
2020-07-28,10.351532936096191,10.409827717166136,10.043402130972893,10.135008328969496,63800
2020-07-29,10.27658462524414,10.40150227147751,10.209961774692074,10.284912680114905,49300
2020-07-30,10.193302154541016,10.326547809757486,10.159990740736898,10.159990740736898,34100
2020-07-31,10.010093688964844,10.420656647353647,9.968454206879898,10.176650823097564,53800
2020-08-03,10.484781265258789,10.568059431611346,10.010093255007435,10.09337142135999,71700
2020-08-04,10.409828186035156,11.17432615227357,10.28491056548548,10.692975639768411,57800
2020-08-05,10.667993545532227,10.667993545532227,10.418157480459428,10.568058484137541,30600
2020-08-06,10.609697341918945,10.7429430237316,10.359861291416765,10.7429430237316,37300
2020-08-07,11.11769962310791,11.159338310983552,10.609699371271622,10.676322224921124,68000
2020-08-10,11.235611915588379,11.311414522429063,10.966092249694361,11.210344647718806,44700
2020-08-11,11.126120567321777,11.370372992058947,11.126120567321777,11.35352760948229,33200
2020-08-12,11.286148071289062,11.425119269366945,11.15981091057538,11.37879607216237,23900
2020-08-13,11.09243106842041,11.336683503353157,10.991361178437765,11.193500958403055,21300
2020-08-14,11.286148071289062,11.530400504372373,11.142965527423113,11.142965527423113,42200
2020-08-17,10.974514961242676,11.277725411382786,10.907135039707546,11.277725411382786,20300
2020-08-18,10.654458999633789,11.100851944766415,10.595501774259725,10.974514000523765,22500
2020-08-19,10.595502853393555,10.788378142597814,10.578658274384782,10.63761550576354,18200
2020-08-20,10.629192352294922,10.696572271863195,10.452319862620207,10.452319862620207,17700
2020-08-21,10.42705249786377,10.662040427059194,10.401785229065636,10.637614945389537,19000
2020-08-24,10.469164848327637,10.646037331315453,10.353776559702178,10.646037331315453,25300
2020-08-25,10.317561149597168,10.822911404747824,10.317561149597168,10.41020834830755,26400
2020-08-26,10.2333345413208,10.696572082579337,10.216489963342811,10.620769473598415,16400
2020-08-27,10.359672546386719,10.460742424493906,10.325982587017656,10.460742424493906,17100
2020-08-28,10.317561149597168,10.393363768192975,10.250181222674692,10.376518384846312,14100
2020-08-31,9.980660438537598,10.343669896246283,9.980660438537598,10.317560036814243,40600
2020-09-01,9.91327953338623,10.149109228735648,9.770097017544675,9.946969489864719,39200
2020-09-02,10.056464195251465,10.140689512764375,9.871169781894515,9.96381698857299,15000
2020-09-03,9.829054832458496,10.317559632429242,9.778519493081674,10.208067066472768,35700
